,open,high,low,close,volume,volatility,rsi,sma_20
2025-06-10,108.36,110.61,107.35,110.26,6548526.0,0.026666597471559,59.1545,107.062
2025-06-11,111.625,117.3599,111.29,114.13,14078071.0,0.026851130302653608,63.4315,107.3845
2025-06-12,113.25,113.57,108.87,109.21,8669282.0,0.027657760214401014,55.4781,107.2725
2025-06-13,105.53,107.01,104.66,105.34,7979447.0,0.028658273143301844,50.1513,107.029
2025-06-16,107.96,109.48,107.01,108.37,7266556.0,0.029441102443445548,53.8847,106.91
2025-06-17,107.3,108.54,106.34,106.53,4910867.0,0.02949761521174969,51.3687,106.7815
2025-06-18,106.52,107.7002,105.3,105.97,5960442.0,0.028993959685971394,50.5945,106.7585
2025-06-20,107.72,109.12,105.73,106.4,10354895.0,0.02752143241557988,51.2027,106.9625
2025-06-23,106.195,110.06,103.9117,109.98,8834016.0,0.028370078982987115,56.0534,107.297
2025-06-24,112.23,115.16,111.85,114.42,8907543.0,0.029067587128860678,61.2043,107.9425
2025-06-25,114.28,114.5,112.86,113.89,9134688.0,0.027127209781703403,60.2958,108.3
2025-06-26,113.76,113.76,108.33,113.07,11368234.0,0.027234491080012923,58.8406,108.598
2025-06-27,113.09,115.06,111.9101,113.65,6377920.0,0.02723283111212946,59.5836,108.8955
2025-06-30,115.09,116.6,113.96,115.35,7107469.0,0.027297420521615347,61.7625,109.302
2025-07-01,114.31,116.12,112.07,112.67,5537867.0,0.02788954532831207,56.5836,109.6085
2025-07-02,111.8,117.175,111.78,114.77,6726143.0,0.027807050927009143,59.4527,110.0915
2025-07-03,114.98,117.46,114.97,116.52,3773554.0,0.027513836662221174,61.7227,110.7385
2025-07-07,115.95,117.07,114.89,116.66,5420494.0,0.027473199528312845,61.9065,111.32
2025-07-08,117.414,118.35,111.33,112.48,7718012.0,0.02570494555632356,53.6291,111.3735
2025-07-09,113.17,114.93,112.59,114.32,6125808.0,0.024682836112934814,56.3931,111.6995
2025-07-10,114.46,116.54,112.36,115.16,6837733.0,0.024275661079053743,57.6346,111.9445
2025-07-11,114.03,116.31,111.39,112.11,5582784.0,0.023818812682933167,51.8611,111.8435
2025-07-14,112.9,118.46,111.725,116.74,10225366.0,0.02336819554379527,58.6352,112.22
2025-07-15,116.99,118.65,114.65,115.05,5440481.0,0.021952595578801873,55.5618,112.7055
2025-07-16,114.29,120.18,112.59,120.0,12714129.0,0.02298453339677409,61.8666,113.287
2025-07-17,120.04,127.3399,119.67,126.75,13380625.0,0.024984439943785467,68.4419,114.298
2025-07-18,127.83,129.08,125.89,127.07,8473645.0,0.024810382707875875,68.7173,115.353
2025-07-21,126.835,129.29,126.6,128.43,6419807.0,0.02477941115319322,69.9187,116.4545
2025-07-22,126.595,127.238,122.54,123.71,9045397.0,0.026166277420037985,61.1421,117.141
2025-07-23,122.81,123.11,118.87,122.21,8523610.0,0.025174657023950223,58.6236,117.5305
2025-07-24,122.85,122.85,120.71,122.08,4313070.0,0.025125861344189655,58.3991,117.94
2025-07-25,122.19,125.57,121.6,124.43,6935305.0,0.025213678731600877,61.2855,118.508
