,open,high,low,close,volume,volatility,rsi,sma_20
2025-05-07,113.045,117.68,112.2818,117.06,207827821.0,0.05263483462115491,58.6823,108.7359
2025-05-08,118.25,118.68,115.85,117.37,198428122.0,0.03241687937433207,59.0096,108.8879
2025-05-09,117.35,118.23,115.21,116.65,132972189.0,0.02917693271454621,57.8631,109.3418
2025-05-12,121.97,123.0,120.28,123.0,225023345.0,0.03071767648158495,64.4276,109.9453
2025-05-13,124.98,131.2189,124.47,129.93,330430105.0,0.03266384919010387,69.9328,110.9062
2025-05-14,133.195,135.435,131.68,135.34,281180830.0,0.033484377270740634,73.3945,112.0632
2025-05-15,134.295,136.3,132.66,134.83,226632563.0,0.02818278790523522,72.5465,113.58
2025-05-16,136.22,136.35,133.46,135.4,226542451.0,0.02651784585687587,72.9231,115.2754
2025-05-19,132.39,135.87,132.39,135.57,193154571.0,0.02275817517963846,73.0418,117.2083
2025-05-20,134.29,134.58,132.62,134.38,161514247.0,0.02346400799006061,70.7042,118.9827
2025-05-21,133.06,137.4,130.59,131.8,270608738.0,0.024046599372292508,65.7883,120.4371
2025-05-22,132.23,134.25,131.55,132.83,187343954.0,0.02342237815442208,66.7813,121.757
2025-05-23,130.0,132.68,129.16,131.29,198821324.0,0.022713289604540676,63.7996,122.7709
2025-05-27,134.15,135.66,133.31,135.5,192953613.0,0.022193427811636614,68.0052,124.1093
2025-05-28,136.025,137.25,134.79,134.81,304021146.0,0.022418868265891765,66.6388,125.3987
2025-05-29,142.245,143.49,137.91,139.19,370615167.0,0.02273384560065515,70.6678,126.9121
2025-05-30,138.715,139.62,132.92,135.13,333170851.0,0.024355374229917258,63.0648,128.088
2025-06-02,135.49,138.12,135.4,137.38,197663116.0,0.024122173245396065,65.2933,129.232
2025-06-03,138.78,142.0,137.95,141.22,225578783.0,0.024176627303955072,68.7579,130.6019
2025-06-04,142.19,142.39,139.545,141.92,167120819.0,0.024013754169967812,69.3584,132.0208
2025-06-05,142.17,144.0,138.83,139.99,232410759.0,0.02417651906865966,65.6139,133.1672
2025-06-06,142.51,143.27,141.51,141.72,153986153.0,0.02413427361432787,67.3172,134.3846
2025-06-09,143.19,145.0,141.94,142.63,185114494.0,0.02386129628275003,68.2092,135.6835
2025-06-10,142.69,144.29,141.525,143.96,155881897.0,0.021491008681324916,69.5187,136.7314
2025-06-11,144.61,144.99,141.87,142.83,167694044.0,0.018493863871286022,67.0153,137.3769
2025-06-12,141.97,145.0,141.85,145.0,162364991.0,0.016575234696884517,69.3206,137.8604
2025-06-13,142.48,143.58,140.855,141.97,180820565.0,0.01739717295112272,62.7282,138.2178
2025-06-16,143.345,146.175,143.2001,144.69,183133666.0,0.017781112752233316,65.8664,138.6828
2025-06-17,144.49,145.22,143.78,144.12,139108000.0,0.017853013895311375,64.6382,139.1108
2025-06-18,144.005,145.65,143.12,145.48,161494121.0,0.017672786939128646,66.255,139.6662
2025-06-20,145.45,146.2,142.65,143.85,242956157.0,0.017201594081818723,62.5628,140.2692
2025-06-23,142.5,144.78,142.03,144.17,154308941.0,0.017190720623610187,62.9988,140.8367
2025-06-24,145.56,147.96,145.5,147.9,187566121.0,0.01741388391238222,67.7176,141.6676
2025-06-25,149.27,154.45,149.26,154.31,269146471.0,0.018449701964107997,73.882,142.6086
2025-06-26,155.975,156.715,154.0,155.02,198145746.0,0.01825037640160433,74.4637,143.6196
2025-06-27,156.04,158.71,155.255,157.75,263234539.0,0.017449412819604295,76.6198,144.5481
2025-06-30,158.4,158.66,155.96,157.99,194580316.0,0.015381755897778666,76.8052,145.6915
2025-07-01,156.29,157.2,151.49,153.3,213143621.0,0.017365054079995168,65.8204,146.488
2025-07-02,152.98,157.6,152.97,157.25,171224111.0,0.017223579018954948,69.7451,147.29
2025-07-03,158.37,160.98,157.77,159.34,143716055.0,0.017309569988196754,71.6031,148.1615
2025-07-07,158.2,159.31,157.342,158.24,140138975.0,0.01697310274557606,69.1946,149.0745
2025-07-08,159.33,160.22,158.39,160.0,138133025.0,0.016952057456237044,70.8822,149.989
2025-07-09,161.22,164.42,161.16,162.88,183656443.0,0.01715577357637165,73.4458,151.002
